base_word,rhyme_candidate,score
ka,k,1
ka,a,1
ka,kakaowcami,0
ka,klipu,0
ki,brwi,1
ki,brzmi,1
ki,koliby,0
ki,kaolinityzacje,0
ko,bo,1
ko,co,1
ko,kozunię,0
ko,krzepą,0
ku,bu,1
ku,bzu,1
ku,kajecik,0
ku,kolombijczykiem,0
kac,ac,1
kac,fac,1
kac,katastrofiście,0
kac,klikiem,0
kal,al,1
kal,bal,1
kal,kaszubszczyznę,0
kal,korozyj,0
kał,bał,1
kał,brał,1
kał,kuleczkowałaby,0
kał,każdziuteńkimi,0
kam,am,1
kam,bam,1
kam,kryptomorficzne,0
kam,kuje,0
kan,an,1
kan,ban,1
kan,klauzę,0
kan,konstruktywisto,0
kań,dań,1
kań,dlań,1
kań,kapitanujących,0
kań,kramarzyłyście,0
kap,ab,1
kap,bab,1
kap,kadawerycznymi,0
kap,kwintal,0
kar,bar,1
kar,car,1
kar,kurdystańskiemu,0
kar,któryś,0
kas,as,1
kas,bas,1
kas,konsonantyzmom,0
kas,krowom,0
kat,ad,1
kat,at,1
kat,krztą,0
kat,kaprzy,0
kaw,baw,1
kaw,braw,1
kaw,koprowe,0
kaw,kłękach,0
kaź,paź,1
kaź,poraź,1
kaź,klępami,0
kaź,kalidyn,0
każ,karz,1
każ,kpiarz,1
każ,krotony,0
każ,kwasowochromową,0
kąp,kłąb,1
kąp,dąb,1
kąp,kałużach,0
kąp,klejce,0
kąt,błąd,1
kąt,ląd,1
kąt,konfliktującymi,0
kąt,kutych,0
keg,bek,1
keg,bieg,1
keg,kajakowałabym,0
keg,karakałpackimi,0
kei,brei,1
kei,dei,1
kei,kontyngensowej,0
kei,konfabulowałem,0
kej,chciej,1
kej,chlej,1
kej,kadmowałam,0
kej,kwiecić,0
kek,bek,1
kek,bieg,1
kek,kaszlam,0
kek,krystalografem,0
kel,biel,1
kel,cel,1
kel,kabatiellami,0
kel,koordynowałyby,0
kem,bzem,1
kem,dnem,1
kem,kalesonowy,0
kem,kazimierskiemu,0
ker,Cher,1
ker,der,1
ker,kalandrować,0
ker,krzywdziańskie,0
ket,bied,1
ket,et,1
ket,kochię,0
ket,kameleonowymi,0
kęp,sęp,1
kęp,strzęp,1
kęp,karykaturzystkę,0
kęp,kilonce,0
kęs,rzęs,1
kęs,chrzęst,1
kęs,kątówko,0
kęs,kamo,0
kia,a,1
kia,ba,1
kia,krzykał,0
kia,kalomelów,0
kią,ą,1
kią,brzmią,1
kią,kochanieńkiemu,0
kią,kłopocę,0
kic,lic,1
kic,nic,1
kic,kościerzyńskie,0
kic,kuczkowałybyśmy,0
kić,bić,1
kić,czcić,1
kić,kalecianom,0
kić,kalymatotekowce,0
kie,brnie,1
kie,chce,1
kie,kremlinologiami,0
kie,kumkają,0
kię,brnę,1
kię,brzmię,1
kię,kamarinskiej,0
kię,kolamin,0
kii,brwi,1
kii,brzmi,1
kii,karburowałabyś,0
kii,koźlego,0
kij,bij,1
kij,czcij,1
kij,kwarantannowemu,0
kij,kukano,0
kil,bil,1
kil,chwil,1
kil,kameleoństwach,0
kil,kozetom,0
kił,bił,1
kił,chrzcił,1
kił,komunikatywność,0
kił,kulawcy,0
kim,bim,1
kim,im,1
kim,kłębiły,0
kim,kontaktowałbyś,0
kin,chin,1
kin,din,1
kin,kordierytowego,0
kin,komendanturach,0
kio,bo,1
kio,co,1
kio,konie,0
kio,kazanej,0
kip,chip,1
kip,chlip,1
kip,konceptualnemu,0
kip,klako,0
kir,ćwir,1
kir,lir,1
kir,kabotażowemu,0
kir,kazamat,0
kiś,dziś,1
kiś,miś,1
kiś,kościerzyniankę,0
kiś,kalawerytach,0
kit,bit,1
kit,dzid,1
kit,kalceolaria,0
kit,kontraktowaniem,0
kiź,miź,1
kiź,bitw,1
kiź,kilblok,0
kiź,kawałkowaniach,0
kle,brnie,1
kle,chce,1
kle,krepowałybyśmy,0
kle,kalokagatiami,0
klo,bo,1
klo,co,1
klo,kategoryzacjami,0
klo,kanarkowożółtym,0
kła,gzła,1
kła,mdła,1
kła,komparatystami,0
kła,kabzy,0
kły,biły,1
kły,ćmiły,1
kły,kryptoseksualną,0
kły,kwizowe,0
koc,hoc,1
koc,kloc,1
koc,kuce,0
koc,kleńca,0
koć,boć,1
koć,choć,1
koć,krzepła,0
koć,kicał,0
kod,kot,1
kod,gniot,1
kod,kongresowiczów,0
kod,kontrastowanej,0
kog,kok,1
kog,blog,1
kog,koleje,0
kog,kufajko,0
koi,boi,1
koi,dwoi,1
koi,kryptoportykach,0
koi,kalkulowałam,0
kok,blog,1
kok,blok,1
kok,kiacie,0
kok,kakofoniczni,0
kol,dol,1
kol,gol,1
kol,kajakarkach,0
kol,kartezjanizmom,0
kom,bom,1
kom,chrom,1
kom,kinezjologiczną,0
kom,kaniankowatemu,0
koń,chroń,1
koń,doń,1
koń,klekotalibyśmy,0
koń,krygów,0
kop,bob,1
kop,cop,1
kop,krygowałybyśmy,0
kop,krwiotwórczych,0
kor,bor,1
kor,for,1
kor,kierzka,0
kor,kretowi,0
kos,cios,1
kos,Dos,1
kos,katorgi,0
kos,kalumniatorzy,0
koś,boś,1
koś,coś,1
koś,klarowalibyście,0
koś,kuci,0
kot,kod,1
kot,gniot,1
kot,krywuło,0
kot,kabardyjskim,0
kój,kuj,1
kój,bój,1
kój,kafarownia,0
kój,kategoryzacjami,0
kół,kuł,1
kół,czół,1
kół,krótkozasięgowe,0
kół,kajmakamom,0
kóp,kup,1
kóp,bób,1
kóp,karbikomierzami,0
kóp,komplikowaniem,0
kóz,bluz,1
kóz,brzóz,1
kóz,kompetytywnych,0
kóz,kliwio,0
kpa,a,1
kpa,ba,1
kpa,konduktorskich,0
kpa,kilkom,0
kpi,brwi,1
kpi,brzmi,1
kpi,kaczodzioby,0
kpi,komórce,0
kpy,by,1
kpy,bzy,1
kpy,krócicy,0
kpy,komunalizowanie,0
kra,a,1
kra,ba,1
kra,kapilaroskopie,0
kra,kasydom,0
krą,ą,1
krą,brzmią,1
krą,kędzierzynianin,0
krą,kalibrowałyśmy,0
krę,brnę,1
krę,brzmię,1
krę,kutnię,0
krę,korcisz,0
kro,bo,1
kro,co,1
kro,kacabajami,0
kro,kadmowcach,0
kry,by,1
kry,bzy,1
kry,kapiszonowcami,0
kry,knykcia,0
ksi,brwi,1
ksi,brzmi,1
ksi,kryptoportykach,0
ksi,kochaniutkiemu,0
kto,bo,1
kto,co,1
kto,kalipso,0
kto,kiszonkarskiego,0
kub,kup,1
kub,bób,1
kub,kaczorków,0
kub,kmieceń,0
kuc,duc,1
kuc,móc,1
kuc,klejopodobnymi,0
kuc,katalp,0
kuć,chuć,1
kuć,knuć,1
kuć,kułaczą,0
kuć,kastrowałybyśmy,0
kuf,luf,1
kuf,muf,1
kuf,ksylografujące,0
kuf,kadastrem,0
kuj,bój,1
kuj,czuj,1
kuj,katechumenowej,0
kuj,kolosalnościami,0
kuk,bóg,1
kuk,bruk,1
kuk,korporacjonizmy,0
kuk,kręgla,0
kul,bul,1
kul,czul,1
kul,konsystometrowi,0
kul,kimnął,0
kuł,kół,1
kuł,czół,1
kuł,kosztorysującej,0
kuł,kameralizacjo,0
kum,bum,1
kum,Chnum,1
kum,kambodżańskiej,0
kum,kontratypowało,0
kun,Brun,1
kun,ćpun,1
kun,klinkierówkach,0
kun,krynicą,0
kup,bób,1
kup,chlup,1
kup,kalomelowe,0
kup,koncentratorom,0
kur,biur,1
kur,bór,1
kur,kajakujmyż,0
kur,kołkami,0
kuś,struś,1
kuś,tuś,1
kuś,kanterberyjskim,0
kuś,kostomłocianie,0
kwa,a,1
kwa,ba,1
kwa,kisnące,0
kwa,kutnerowałabyś,0
kwi,brwi,1
kwi,brzmi,1
kwi,kafryjskimi,0
kwi,kamfeny,0
kwo,bo,1
kwo,co,1
kwo,konak,0
kwo,korowód,0
kyu,brygu,1
kyu,byciu,1
kyu,królice,0
kyu,kaleczyłyby,0
kabe,Abe,1
kabe,rabe,1
kabe,kazbę,0
kabe,krowiankowatemu,0
kabi,babi,1
kabi,grabi,1
kabi,kurnych,0
